Part Number,Part name,Brand ,Model,Harga ATPM,Cost saving,Harga Jual
BCKN50A11A,"COVER,TOWING HOOK-BUMPER",MAZDA,,"Rp299,300",40.00%,"Rp179,580"
BCKN50760C,"MOULD(R),FRONT",MAZDA,,"Rp2,060,000",50.00%,"Rp1,030,000"
BDGF61480A,CONDENSER,MAZDA,,"Rp5,515,300",10.00%,"Rp4,963,770"
PAF215025,"FAN,ELECTRIC",MAZDA,,"Rp6,420,300",50.00%,"Rp3,210,150"
BCJH50070A/B,,,,,50.00%,0
BCKN50A20A,"GUIDE,AIR",MAZDA,,"Rp627,300",50.00%,"Rp313,650"
BCKA507E0D51,"GRILLE,RADIATOR-UPP.",MAZDA,,"Rp3,702,500",50.00%,"Rp1,851,250"
BCKA507E0D51,"GRILLE,RADIATOR-UPP.",MAZDA,,"Rp3,702,500",50.00%,"Rp1,851,250"
BCKA500S0B,"STIFF.'A',BUMPER",MAZDA,,"Rp1,152,500",50.00%,"Rp576,250"
BCJH53110B,"PANEL,SHROUD",MAZDA,,"Rp3,729,400",50.00%,"Rp1,864,700"
PE0114302 TT,OIL FILTER,MAZDA,,"Rp82,250",40.00%,"Rp49,350"
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0
,,,,,,0