,,,,,,,
,BERITA ACARA MUATAN BARANG MASUK GUDANG,,,,,,
,,,,,,,
,NOMER PO                                :,,AR260603,,,,
,EMTECH CABANG                   :,,BATAM CENTRE,,,,
,DATE RECEIVED                       :,,18/7/2026, ,,,
,RECEIVED BY                            :,,DENNY,,,,
,,,,,,,
,NO,PART NUMBER,PART NAME,PACKING LIST,LOKASI,QTY,
,1,406000319AA,FR SAFETY BELT LH,,MAZDA,1 SET,
,2,406000507AA,FR SAFETY BELT RH,,MAZDA,1 SET,
,3,406000328AA,RR SAFETY BELT RH,,MAZDA,1 SET,
,4,M11-2916030,REAR TIE ROD ASSY,,MAZDA,2 SET,
,5,,,,,,
,6,,,,,,
,7,,,,,,
,8,,,,,,
,9,,,,,,
,10,,,,,,
,11,,,,,,
,12,,,,,,
,13,,,,,,
,14,,,,,,
,15,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,   
,,,,,,,
,PREPARED BY                                                  CHECKED BY                                                       APPROVED BY,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,YOSSY                                              SURYANI                                                      Hendra Prasetiyo,,,,,,