Status,PO Number,PO Date,Purchasing Officer,Exchange Rate,Purchase Amount,Amount (IDR),Origin Warehouse,Freight Forwarder Name,Shipping Mode,PO Submission Date,PO Payment Date,Item Delivery Date,Estimated Arrival Date,Completed,PO Remarks,,,LEGEND / CARA INPUT - MASTER_SPAREPART,,
Tidak Complete,AR260501,4-May-2026,Denny,USD,25,"Rp448,561",China,HAMGES,Sea,4-May-2026,12-Jun-2026,16-Jun-2026,19-Jun-2026,Done,,,,Kuning,Segera Sampai (H-7). Barang diperkirakan sampai dalam 1 minggu atau kurang.,Siapkan tim penerima barang / Follow up ke expedisi apakah on Time atau tidak
Tidak Complete,KWJ260501,18-May-2026,Denny,USD,22,"Rp394,734",,,,18-May-2026,,,,,,,,Merah,"Terlambat (Overdue). Tanggal hari ini sudah melewati estimasi kedatangan, tapi belum dicentang.",Segera hubungi cargo/vendor untuk posisi barang.
Tidak Complete,AR260501,4-May-2026,Denny,,,,,,,4-May-2026,,,,,,,,,,
Tidak Complete,MG260501,22-May-2026,Ruben,SGD,20,"Rp277,866",Singapore,TIRTA MANDIRI SUKSES,Sea,22-May-2026,1-Jun-2026,9-Jun-2026,10-Jun-2026,Done,,,,,,
Tidak Complete,MG260501,22-May-2026,Ruben,SGD,20,"Rp277,866",Singapore,TIRTA MANDIRI SUKSES,Sea,22-May-2026,1-Jun-2026,9-Jun-2026,10-Jun-2026,Done,,,,,,
Tidak Complete,CT260502,22-May-2026,Ruben,,,,,,,22-May-2026,,,,,,,,,,
Tidak Complete,CT260502,22-May-2026,Ruben,,,,,,Sea,22-May-2026,,,,,,,,,,
Tidak Complete,CT260501,11-May-2026,Ruben,,,,,,,11-May-2026,,,,,,,,,,
Tidak Complete,CT260501,11-May-2026,Ruben,,,,,,,11-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AB260501,12-May-2026,Ruben,,,,,,,12-May-2026,,,,,,,,,,
Tidak Complete,AR260502,20-May-2026,Denny,,,,,,,20-May-2026,,,,,,,,,,
Tidak Complete,AR260502,20-May-2026,Denny,,,,,,,20-May-2026,,,,,,,,,,
Tidak Complete,Stock Ready,19-Jun-2026,Denny,,,,,,,19-Jun-2026,,,,,,,,,,
Tidak Complete,CT260503,22-May-2026,Ruben,,,,,,,22-May-2026,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tidak Complete,TD260608,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260608,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260610,30-Jun-2026,Ruben,IDR,0,Rp0,ID - JKT,SHOPEE,Air,30-Jun-2026,12-Jun-2026,19-Jun-2026,19-Jun-2026,Done,,,,,,
Tidak Complete,CT260601,4-Jun-2026,Mualimin,,,,,,,4-Jun-2026,,,,,,,,,,
Tidak Complete,AR260504,28-May-2026,Denny,,,,,,,28-May-2026,,,,,,,,,,
Tidak Complete,IGN260501,29-May-2026,Mualimin,,,,,,,29-May-2026,,,,,,,,,,
Tidak Complete,SHP260601,12-Jun-2026,Denny,,,,,,,12-Jun-2026,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tidak Complete,TD260710,14-Jul-2026,Mualimin,IDR,0,Rp0,Malaysia,PENDING,Sea,14-Jul-2026,15-Jun-2026,23-Jun-2026,16-Jun-2026,Done,,,,,,
,,,,IDR,0,Rp0,Malaysia,PENDING,Sea,,15-Jun-2026,23-Jun-2026,16-Jun-2026,Done,,,,,,
Tidak Complete,KWJ260502,28-May-2026,Denny,,,,,,,28-May-2026,,,,,,,,,,
Tidak Complete,KWJ260502,28-May-2026,Denny,USD,0,Rp0,ID - BTH,Maxim,Line,28-May-2026,23-Jun-2026,23-Jun-2026,23-Jun-2026,Done,,,,,,
Tidak Complete,CT260603,20-Jun-2026,Mualimin,,,,,,,20-Jun-2026,,,,,,,,,,
Tidak Complete,CT260603,20-Jun-2026,Mualimin,,,,,,,20-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,TD260602,27-Jun-2026,Denny,,,,,,,27-Jun-2026,,,,,,,,,,
Tidak Complete,KWJ260601,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,KWJ260601,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,TD260601,24-Jun-2026,Denny,,,,,,,24-Jun-2026,,,,,,,,,,
Tidak Complete,AR260602,18-Jun-2026,Denny,,,,,,,18-Jun-2026,,,,,,,,,,
Tidak Complete,AR260602,18-Jun-2026,Denny,,,,,,,18-Jun-2026,,,,,,,,,,
Tidak Complete,AR260602,18-Jun-2026,Denny,,,,,,,18-Jun-2026,,,,,,,,,,
Tidak Complete,CT260602,12-Jun-2026,Ruben,,,,,,,12-Jun-2026,,,,,,,,,,
Tidak Complete,CT260602,12-Jun-2026,Ruben,,,,,,,12-Jun-2026,,,,,,,,,,
Tidak Complete,AR260602,18-Jun-2026,Denny,,,,,,,18-Jun-2026,,,,,,,,,,
Tidak Complete,TD260605,20-Jun-2026,Ruben,,,,,,,20-Jun-2026,,,,,,,,,,
Tidak Complete,AR260603,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,AR260603,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,AR260603,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260610,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260604,25-Jun-2026,Denny,,,,,,,25-Jun-2026,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,CBA260601,,Ruben,,,,,,,,,,,,,,,,,
Tidak Complete,TD260603,24-Jun-2026,Ruben,,,,,,,24-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,AR260601,5-Jun-2026,Denny,,,,,,,5-Jun-2026,,,,,,,,,,
Tidak Complete,MAD260504,28-May-2026,Denny,,,,,,,28-May-2026,,,,,,,,,,
Tidak Complete,AR260603,22-Jun-2026,Denny,,,,,,,22-Jun-2026,,,,,,,,,,
Tidak Complete,TD260601,24-Jun-2026,Denny,,,,,,,24-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260607,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260705,8-Jul-2026,Ruben,,,,,,,8-Jul-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260609,30-Jun-2026,Ruben,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260703,6-Jul-2026,Denny,,,,,,,6-Jul-2026,,,,,,,,,,
Tidak Complete,TD260606,30-Jun-2026,Denny,,,,,,,30-Jun-2026,,,,,,,,,,
Tidak Complete,TD260701,2-Jul-2026,Denny,,,,,,,2-Jul-2026,,,,,,,,,,
Tidak Complete,TD260701,2-Jul-2026,Denny,,,,,,,2-Jul-2026,,,,,,,,,,
Tidak Complete,TD260704,7-Jul-2026,Denny,,,,,,,7-Jul-2026,,,,,,,,,,
Tidak Complete,TD260712,16-Jul-2026,Denny,,,,,,,16-Jul-2026,,,,,,,,,,
Tidak Complete,TD260704,7-Jul-2026,Denny,,,,,,,7-Jul-2026,,,,,,,,,,
Tidak Complete,TD260712,16-Jul-2026,Denny,,,,,,,16-Jul-2026,,,,,,,,,,
Tidak Complete,TD260711,16-Jul-2026,Denny,,,,,,,16-Jul-2026,,,,,,,,,,
Tidak Complete,TD260716,17-Jul-2026,Denny,,,,,,,17-Jul-2026,,,,,,,,,,
Tidak Complete,TD260710,14-Jul-2026,Mualimin,,,,,,,14-Jul-2026,,,,,,,,,,