BA Date,PO Number,Part Number,Part Name,Packing List,Location,UOM,Issued by Department,Sub Department,Recipient,Nama Customer,No. WO,Supply Slip,No. Invoice
,AR260501,609001177AA,FR WHEEL ARCH ASSY RH,,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,KWJ260501,602004000AA,TRIM COVER-FOG LAMP RH,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260501,602003997AA,LWR BODY-FR BUMPER,,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
6/11/2026,MG260501,86512CC300,FRONT LOWER BUMPER,1584736,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
6/11/2026,MG260501,86612-CC300BKL,REAR LOWER BUMPER,1584736,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260502,KD5451150G,"LAMP(R),RR COMB.",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260502,KD53513F0F,"LAMP(R),TRUNK LID",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260501,K0V834300,"ARM(R),LOWER",CS2605/02593,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260501,K0V834350,"ARM(L),LOWER",CS2605/02593,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,49141-60020,"ACCUMULATOR, FRONT SUSPENSION CONTROL RH/LH",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,49141-60020,"ACCUMULATOR, FRONT SUSPENSION CONTROL RH/LH",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,49151-60020,"ACCUMULATOR, REAR SUSPENSION CONTROL RH/LH",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,49151-60020,"ACCUMULATOR, REAR SUSPENSION CONTROL RH/LH",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,48510-69355,"ABSORBER ASSY. SHOCK, FRONT RH/LH (SET SD NUT)",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,48510-69355,"ABSORBER ASSY. SHOCK, FRONT RH/LH (SET SD NUT)",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,48530-69415,"ABORBER ASSY, SHOCK, REAR RH/LH",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,48530-69415,"ABORBER ASSY, SHOCK, REAR RH/LH",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
11/06/26,AB260501,08886-01805,SHOCK ABSORBER OIL 2.5L,,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260502,609001033AA,TRIM PANEL-FR DOOR LH,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260502,602002649AA,LWR BODY-RR BUMPER,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,Stock Ready,602002156AA,LWR BODY-FR BUMPER,,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260503,K0114370XA,"SENSOR(R),FRT-A.B.S.",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,,52411-48070,SPOILER BUMPER FRONT,,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260608,48510-80B41,SHOCKBRAKER FR RH,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260608,4261A-48290,"WHEEL, DISC",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260610,BST-TUR6-22560R18,BRIDGESTONE TURANZA 6 225/60-R18,,MAZDA,2 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260601,PY0115908A,"BELT,V",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260504,202000727AA,RR SLEEVE-CONTROL ARM,,MAZDA,2 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,IGN260501,5A75A49-03,"RELAY, STARTER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,SHP260601,SILICONEALP,SILICONE ALL PURPOSE,,MAZDA,10 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,,BCKN50A11A,"COVER, TOW HOOK",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,,BCKN50760C,"MOULD(L),FRONT",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,,BDGF61480A,CONDENSER,,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260710,PAF215025,RADIATOR FAN ASSY,CS2606/02135,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,,BCJH50070B,"REIN,IMPACT BAR,FRONT BUMPER",CS2606/02135,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,KWJ260502,608000120AA,BLADE PS,,MEDITERANIA,10 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,KWJ260502,608000118AA,WIPER BLADE-MASTER,2026061928,MAZDA,10 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260603,A0003570091 / FEBI,CARDAN BELLOW SETS,A006XJ260000140,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260603,95B837462,FRONT RIGHT WINDOW REGULATOR,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260601,602002649AA,LWR BODY-RR BUMPER,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260601,602002017AA,REAR BUMPER LEFT END BODY,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260602,SFM-400-EB,SINOFUSE ELECTRIC,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,KWJ260601,605002314AA,LH FR DECORATIVE LAMP,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,KWJ260601,F26-6105380BJ,REMOTE CONTROL KEY-WHITE,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260601,F26-3106010AB,"TIRE ASSY, Size 255/60R19",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260602,609003300AA,FRONT RIGHT WHEEL ARCH TRIM ,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260602,602006896AA,LWR BODY-FR BUMPER,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260602,605000591AA,RR REFLECTOR-RH,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260602,D24H34300C,"ARM(R),LOWER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CT260602,D24H34350C,"ARM(L),LOWER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260602,609002182AA,RR LOGO,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260605,BST-TUR6-22560R18,BRIDGESTONE TURANZA 6 225/60-R18,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260603,406000319AA,FR SAFETY BELT LH,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260603,406000507AA,FR SAFETY BELT RH,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260603,406000328AA,RR SAFETY BELT RH,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260609,GSJ850031 BB,FRONT BUMPER,610487/PAB,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260610,ACC-EVT-22545R19,Accelera EVT 225/45 R19 92W,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260609,GBVG50131,"PROTECTOR(L),BUMPER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260609,GSH750102,"COVER(L),FRONT BUMPER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260609,GSH750104,"COVER(L),BUMPER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260609,GSH7501V0,"PLATE(L),SEAL-F.BUMP",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260604,12411603429,DINAMO STARTER,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,K26250710A,"GRILLE,RADIATOR",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KB8A507E1BBB,"GRILLE,UP.RADIATOR",,MAZDA,2 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KD3556620A,"LOCK,BONNET",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KBY05231XC,BONNET,,MAZDA,2 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KB7W52410,"HINGE(L),BONNET",,MAZDA,2 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KB7W52420,"HINGE(L),BONNET",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KD5356627,"PROTECTOR,LOCK-BONNET",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KB7W56770A,SEAL TO HOOD,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KB7W56750A,"STRIP,FRONT-WEATHER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KB7W52150,"STAY,LOCK",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,KB7W5215Y,"STAY,LOCK",,MEDITERANIA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,CBA260601,K15653110A,"PANEL,SHROUD",,,1 SET,,,SURYANI,,,,
,CBA260601,KB7W53150A,"MEMBER,SHROUD-UPPER",,,1 SET,,,SURYANI,,,,
,CBA260601,KB8A501C0B,"PLATE,SET",,,1 SET,,,SURYANI,,,,
,CBA260601,PE2713100,"MANIFOLD,INLET",,,1 SET,,,SURYANI,,,,
,CBA260601,PE0113200,"DUCT,FRESH AIR",,,1 SET,,,SURYANI,,,,
,CBA260601,PYFV15025,"FAN,ELECTRIC",,,1 SET,,,SURYANI,,,,
,CBA260601,PE0115351A,"TANK,SUB-RADIATOR",,,1 SET,,,SURYANI,,,,
,CBA260601,KPF156130,FENDER LINER FR RH,,,1 SET,,,SURYANI,,,,
,CBA260601,KB8A50717D,INNER BRACKET,,,1 SET,,,SURYANI,,,,
,TD260603,PX01102F0A,"PLATE,PLUG COVER",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260601,602003098AA,LWR BODY-FR BUMPER,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260601,602003952AA,LH CHOKE PLATE-FR BUMPER,,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260601,602003953AA,RH CHOKE PLATE-FR BUMPER,,,1 SET,,,SURYANI,,,,
,MAD260504,DFR551W30C,"FENDER(L),OVER-FRT",,MAZDA,1 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,AR260603,M11-2916030,REAR TIE ROD ASSY,,MAZDA,2 SET,SPAREPART TRADING,YOSSY,SURYANI,,,,
,TD260601,J69-6GN3501080,FR BRAKE PAD,,,3 SET,,,,,,,
,TD260607,151000348AA,AIR FILTER ELEMENT,,,5 SET,,,,,,,
,TD260607,204003099AA,FR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,T19-6GN3501080,FR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,T15-6GN3501080,FR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,T1EJ-3501080,FR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,204007078AA,FR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,T1C-3JS3502080,RR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,T15-6GN3502080EP,RR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,204003470AA,RR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,204007081AA,RR BRAKE PAD,,,2 SET,,,,,,,
,TD260607,T28-3JS3502080,RR BRAKE PAD,,,2 SET,,,,,,,
,TD260705,KB8NV3290TT,"COVER, UNDER FRONT",,,1 SET,,,,,,,
,TD260609,KB8A507K1B,"MOULD(L),FRONT",,,1 SET,,,,,,,
,TD260609,KB8A507J1B,"MOULD(R),FRONT",,,1 SET,,,,,,,
,TD260609,GMK667UC1 2Y,"SENSOR,ULTRASONIC",,,1 SET,,,,,,,
,TD260609,KD4767UC5APR,RETAINER,,,1 SET,,,,,,,
,TD260609,KB8A50717D,INNER BRACKET,,,1 SET,,,,,,,
,TD260703,ABJT0002,RAIN VISOR,,,1 SET,,,,,,,
,TD260606,3658100-FK01P,AIR BAG ECU,,,1 SET,,,,,,,
,TD260701,608000446AA,WIPER BLADE-SUB,,,5 SET,,,,,,,
,TD260701,608000389AA,WIPER BLADE-MASTER,,,5 SET,,,,,,,
,TD260704,803000090AA,HORN-LOW TONE,,,1 SET,,,,,,,
,TD260712,01R00A013,IGNITION COIL,,,3 SET,,,,,,,
,TD260704,10130968,BEARING-RR WHL,,,1 SET,,,,,,,
,TD260712,5305700XKN01A,"AIR OUTLET ASSY,CONSOLE,RR N",,,1 SET,,,,,,,
,TD260711,151000079AA,"AIR FILTER, ELEMENT",,,10 SET,,,,,,,
,TD260716,302001607AA,RADIATOR,,,1 SET,,,,,,,
,TD260710,KT0458415,"CAP,CYL-OUTER HANDLE",,,1 SET,,,,,,,