MAZDA CX-5 ABU,,,,,MAZDA CX-5 MERAH,,,,,GABUNGAN PART SAMA,,,
No,Part Number,Description,Qty,,No,Part Number,Description,Qty,Diorder,No,Part Number,Description,Qty
1,K26250710A,"GRILLE,RADIATOR",1,,1,KBY05231XB,Bonnet,1,,1,KB8A507E1BBB,Grille Upper Radiator,2
2,KB8A507E1BBB,"GRILLE,UP.RADIATOR",1,,2,KB7W52211,"PANEL (L),FENDER-FRT",1,,2,KB7W52410,Hinge Bonnet,2
3,KD3556620A,"LOCK,BONNET,",1,,3,KB8A50163B,"BRACKET(L),FRT BUMPER",1,2,3,KBY05231XCXB,Bonnet,2
4,KBY05231XC,BONNET,1,,4,KB7W51W30E,"FENDER(L),OVER-FRT",1,,4,KB7W52410,"HINGE(R),BONNET",2
5,KB7W52410,"HINGE(R),BONNET",1,,5,KB8B51694,"BRACKET(L),F.FOGLAMP",1,,5,,,
6,KB7W52420,"HINGE(L),BONNET",1,,6,KD4767UC5APR,RETAINER,1,,6,,,
7,KD5356627,"PROTECTOR,LOCK-BONNET",1,,7,KB7W500S0B,STIFF.'A'BUMPER,1,,7,,,
8,KB7W56770A,"FRONT,WEATHER-STRIP",1,,8,KB8A507K1B,"MOULD(L),FRONT",1,,,,,
9,KB7W56750A,"WEATHERSTRIP,BONNET",1,,9,KB7W56140C,"GUARD(L),MUD",1,,,,,
10,KB7W52150,"STAY,LOCK",1,,10,KB8A5611Y,"COVER,UNDER-FRONT",1,,,,,
11,KB7W5215Y,"STAY,LOCK",1,,11,KB9M56115A,"SHIELD(L),SPLASH",1,,,,,
12,K15653110A,"PANEL,SHROUD",1,,12,P5E118572,CONVERTER.DC/DC,1,,,,,
13,KB7W53150A,"MEMBER,SHROUD-UPPER",1,,13,KB7W52410,"HINGE(L),BONNET",1,,,,,
14,KB8A501C0B,"PLATE,SET",1,,14,KB8A507E1BBB,"GRILLE,UP.RADIATOR",1,,,,,
15,PE2713100,"MANIFOLD,INLET",1,,,,,,,,,,
16,PE0113200,"DUCT,FRESH AIR",1,,,,,,,,,,
17,PYFV15025,"FAN,ELECTRIC",1,,,,,,,,,,
18,PE0115351A,"TANK,SUB-RADIATOR",1,,,,,,,,,,
19,KPF156130,"GUARD(R),MUD",1,,,,,,,,,,
20,KB8A50717D,"BRACKET,RAD.GRILLE",1,,,,,,,,,,
21,PX01102F0A,"PLATE,PLUG COVER",1,,,,,,,,,,